Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Observation Time, Propagate Time, Search Time, CPU Usage
1, parallel-propagate, Skyline, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:06.73, 0:05.43, 0:12.82,0
1, parallel-propagate, Flowers, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:22.99, 0:36.09, 1:03.81,0
1, parallel-propagate, Platformer, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:05.76, 0:03.57, 0:09.73,0
1, parallel-propagate, Skyline, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:06.68, 0:05.08, 0:12.13,0
1, parallel-propagate, Flowers, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:22.90, 0:30.05, 0:55.43,0
1, parallel-propagate, Platformer, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:05.49, 0:02.96, 0:08.68,0
1, parallel-propagate, Skyline, 1, 1000, 506683626, 4, 1, 10, 50, 0, 0:06.67, 0:04.77, 0:11.68,0
1, parallel-propagate, Flowers, 1, 1000, 506683626, 4, 1, 10, 50, 0, 0:23.22, 0:28.72, 0:53.42,0
1, parallel-propagate, Platformer, 1, 1000, 506683626, 4, 1, 10, 50, 0, 0:05.51, 0:02.86, 0:08.51,0
1, parallel-propagate, Skyline, 1, 1000, 506683626, 8, 1, 10, 50, 0, 0:06.71, 0:04.49, 0:11.43,0
1, parallel-propagate, Flowers, 1, 1000, 506683626, 8, 1, 10, 50, 0, 0:11.69, 0:12.94, 0:25.34,0
1, parallel-propagate, Platformer, 1, 1000, 506683626, 8, 1, 10, 50, 0, 0:05.71, 0:02.68, 0:08.51,0
2, sequential-main, Skyline, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.60, 0:04.77, 0:10.09,0
2, sequential-main, Flowers, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:02.16, 0:03.52, 0:06.20,0
2, sequential-main, Platformer, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.22, 0:02.99, 0:07.59,0
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.64, 0:04.79, 0:10.16,0
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:02.15, 0:03.50, 0:06.17,0
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.20, 0:02.98, 0:07.57,0
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 2, 10, 50, 0, 0:08.97, 0:09.31, 0:19.74,0
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 2, 10, 50, 0, 0:06.12, 0:08.02, 0:15.25,0
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 2, 10, 50, 0, 0:06.59, 0:05.07, 0:12.50,0
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:22.10, 0:21.26, 0:46.57,0
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:11.51, 0:16.28, 0:30.15,0
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:14.90, 0:11.79, 0:28.51,0
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 1:12.71, 1:02.69, 2:24.89,0
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 0:34.94, 0:47.72, 1:29.54,0
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 0:41.63, 0:31.76, 1:19.49,0
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.56, 0:04.77, 0:10.06,0
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:02.15, 0:03.56, 0:06.22,0
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.15, 0:03.09, 0:07.64,0
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 2, 1, 10, 50, 0, 0:04.55, 0:04.38, 0:09.31,0
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 2, 1, 10, 50, 0, 0:02.15, 0:02.86, 0:05.30,0
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 2, 1, 10, 50, 0, 0:03.97, 0:02.56, 0:06.74,0
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 4, 1, 10, 50, 0, 0:04.58, 0:04.15, 0:08.98,0
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 4, 1, 10, 50, 0, 0:02.27, 0:02.61, 0:05.04,0
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 4, 1, 10, 50, 0, 0:04.13, 0:02.55, 0:06.79,0
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 8, 1, 10, 50, 0, 0:04.54, 0:03.91, 0:08.68,0
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 8, 1, 10, 50, 0, 0:02.15, 0:02.36, 0:04.69,0
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 8, 1, 10, 50, 0, 0:03.94, 0:02.29, 0:06.36,0
3, sequential-main, Skyline, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:06.29, 0:05.48, 0:12.49,0
3, sequential-main, Flowers, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:02.81, 0:03.84, 0:07.15,0
3, sequential-main, Platformer, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:03.81, 0:02.68, 0:07.00,0
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:06.32, 0:05.49, 0:12.52,0
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:02.80, 0:03.85, 0:07.17,0
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:03.83, 0:02.66, 0:06.89,0
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 2, 10, 50, 0, 0:12.84, 0:11.34, 0:25.69,0
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 2, 10, 50, 0, 0:05.09, 0:07.33, 0:13.45,0
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 2, 10, 50, 0, 0:06.39, 0:04.73, 0:11.95,0
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 4, 10, 50, 0, 0:33.33, 0:27.84, 1:04.42,0
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 4, 10, 50, 0, 0:43.28, 1:14.70, 2:09.18,0
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 4, 10, 50, 0, 0:14.18, 0:10.88, 0:26.96,0
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 8, 10, 50, 0, 1:27.23, 1:10.52, 2:47.20,0
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 8, 10, 50, 0, 1:02.42, 1:43.50, 3:01.92,0
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 8, 10, 50, 0, 0:43.50, 0:32.87, 1:21.98,0
3, parallel-propagate, Skyline, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:06.25, 0:05.41, 0:12.38,0
3, parallel-propagate, Flowers, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:02.80, 0:03.92, 0:07.24,0
3, parallel-propagate, Platformer, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:03.78, 0:02.74, 0:06.92,0
3, parallel-propagate, Skyline, 1, 1000, 2344573, 2, 1, 10, 50, 0, 0:06.28, 0:04.81, 0:11.48,0
3, parallel-propagate, Flowers, 1, 1000, 2344573, 2, 1, 10, 50, 0, 0:03.07, 0:03.38, 0:06.73,0
3, parallel-propagate, Platformer, 1, 1000, 2344573, 2, 1, 10, 50, 0, 0:03.68, 0:02.57, 0:06.47,0
3, parallel-propagate, Skyline, 1, 1000, 2344573, 4, 1, 10, 50, 0, 0:06.20, 0:04.68, 0:11.11,0
3, parallel-propagate, Flowers, 1, 1000, 2344573, 4, 1, 10, 50, 0, 0:02.74, 0:02.99, 0:05.90,0
3, parallel-propagate, Platformer, 1, 1000, 2344573, 4, 1, 10, 50, 0, 0:03.79, 0:02.30, 0:06.23,0
3, parallel-propagate, Skyline, 1, 1000, 2344573, 8, 1, 10, 50, 0, 0:06.31, 0:04.44, 0:10.96,0
3, parallel-propagate, Flowers, 1, 1000, 2344573, 8, 1, 10, 50, 0, 0:02.85, 0:02.88, 0:05.87,0
3, parallel-propagate, Platformer, 1, 1000, 2344573, 8, 1, 10, 50, 0, 0:03.76, 0:02.11, 0:06.01,0
4, sequential-main, Skyline, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:07.31, 0:05.96, 0:13.99,0
4, sequential-main, Flowers, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:01.89, 0:03.93, 0:06.34,0
4, sequential-main, Platformer, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:02.82, 0:02.26, 0:05.48,0
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:07.26, 0:05.94, 0:13.93,0
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:01.89, 0:03.82, 0:06.23,0
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:02.80, 0:02.28, 0:05.48,0
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 2, 10, 50, 0, 0:15.37, 0:12.25, 0:29.06,0
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 2, 10, 50, 0, 0:03.44, 0:07.44, 0:11.92,0
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 2, 10, 50, 0, 0:06.07, 0:04.33, 0:11.23,0
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 4, 10, 50, 0, 0:31.57, 0:24.98, 0:59.80,0
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 4, 10, 50, 0, 0:09.14, 0:17.15, 0:28.68,0
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 4, 10, 50, 0, 0:13.24, 0:10.46, 0:25.62,0
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 8, 10, 50, 0, 1:29.47, 1:08.71, 2:47.97,0
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 8, 10, 50, 0, 0:25.22, 0:43.74, 1:15.85,0
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 8, 10, 50, 0, 0:42.62, 0:30.92, 1:19.26,0
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:07.30, 0:05.90, 0:13.88,0
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:01.88, 0:03.59, 0:05.94,0
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:02.78, 0:02.21, 0:05.39,0
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 2, 1, 10, 50, 0, 0:07.20, 0:05.27, 0:12.84,0
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 2, 1, 10, 50, 0, 0:01.78, 0:02.91, 0:04.96,0
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 2, 1, 10, 50, 0, 0:02.77, 0:01.98, 0:04.98,0
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 4, 1, 10, 50, 0, 0:07.18, 0:05.17, 0:12.57,0
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 4, 1, 10, 50, 0, 0:01.88, 0:02.85, 0:04.92,0
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 4, 1, 10, 50, 0, 0:02.79, 0:01.88, 0:04.83,0
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 8, 1, 10, 50, 0, 0:07.18, 0:04.71, 0:12.12,0
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 8, 1, 10, 50, 0, 0:01.88, 0:02.55, 0:04.58,0
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 8, 1, 10, 50, 0, 0:02.77, 0:01.62, 0:04.53,0
5, sequential-main, Skyline, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:06.24, 0:05.39, 0:12.37,0
5, sequential-main, Flowers, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.04, 0:03.57, 0:06.13,0
5, sequential-main, Platformer, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.47, 0:02.08, 0:04.94,0
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:06.29, 0:05.41, 0:12.41,0
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.07, 0:03.59, 0:06.17,0
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.47, 0:02.07, 0:04.92,0
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 2, 10, 50, 0, 0:12.31, 0:11.10, 0:24.83,0
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 2, 10, 50, 0, 0:05.78, 0:08.08, 0:14.90,0
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 2, 10, 50, 0, 0:06.15, 0:04.86, 0:11.84,0
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 4, 10, 50, 0, 0:27.68, 0:24.27, 0:55.14,0
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 4, 10, 50, 0, 0:29.96, 0:47.67, 1:24.19,0
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 4, 10, 50, 0, 0:12.95, 0:10.33, 0:25.11,0
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 8, 10, 50, 0, 1:24.63, 1:07.77, 2:41.88,0
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 8, 10, 50, 0, 0:51.50, 1:18.82, 2:21.65,0
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 8, 10, 50, 0, 0:35.08, 0:26.69, 1:07.38,0
5, parallel-propagate, Skyline, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:06.25, 0:05.54, 0:12.51,0
5, parallel-propagate, Flowers, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.05, 0:03.66, 0:06.23,0
5, parallel-propagate, Platformer, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.44, 0:02.09, 0:04.92,0
5, parallel-propagate, Skyline, 1, 1000, 980737479, 2, 1, 10, 50, 0, 0:06.16, 0:04.58, 0:11.12,0
5, parallel-propagate, Flowers, 1, 1000, 980737479, 2, 1, 10, 50, 0, 0:02.03, 0:02.86, 0:05.16,0
5, parallel-propagate, Platformer, 1, 1000, 980737479, 2, 1, 10, 50, 0, 0:02.41, 0:01.83, 0:04.45,0
5, parallel-propagate, Skyline, 1, 1000, 980737479, 4, 1, 10, 50, 0, 0:06.17, 0:04.51, 0:10.91,0
5, parallel-propagate, Flowers, 1, 1000, 980737479, 4, 1, 10, 50, 0, 0:02.05, 0:02.71, 0:04.94,0
