Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Propagate Time, Search Time
1, parallel-main, Flowers,1,1000,506683626,1,1,10,10,0, 00:00:35.4842521, 00:01:03.2996366
1, parallel-main, Platformer,1,1000,506683626,1,1,10,10,0, 00:00:03.4429392, 00:00:09.6444537
1, sequential-main, Skyline,1,1000,506683626,1,1,10,10,0, 00:00:05.3533986, 00:00:12.6964153
1, sequential-main, Flowers,1,1000,506683626,1,1,10,10,0, 00:00:35.9763782, 00:01:03.8622827
1, sequential-main, Platformer,1,1000,506683626,1,1,10,10,0, 00:00:03.3043331, 00:00:09.5147251
2, parallel-propagate, Skyline,1,1000,1623525913,8,1,10,10,0, 00:00:04.7532979, 00:00:10.0308498
2, parallel-propagate, Flowers,1,1000,1623525913,8,1,10,10,0, 00:00:03.4489039, 00:00:06.1341796
2, parallel-propagate, Platformer,1,1000,1623525913,8,1,10,10,0, 00:00:02.8302916, 00:00:07.3868030
2, parallel-main, Skyline,1,1000,1623525913,1,8,10,10,0, 00:00:07.3150140, 00:00:16.4863687
2, parallel-main, Flowers,1,1000,1623525913,1,8,10,10,0, 00:00:05.6322793, 00:00:10.0356897
2, parallel-main, Platformer,1,1000,1623525913,1,8,10,10,0, 00:00:03.5979687, 00:00:08.7047199
2, parallel-propagate, Skyline,1,1000,1623525913,4,1,10,10,0, 00:00:05.2607492, 00:00:12.9565812
2, parallel-propagate, Flowers,1,1000,1623525913,4,1,10,10,0, 00:00:03.4638466, 00:00:06.1272938
2, parallel-propagate, Platformer,1,1000,1623525913,4,1,10,10,0, 00:00:02.9557305, 00:00:07.5645315
2, parallel-main, Skyline,1,1000,1623525913,1,4,10,10,0, 00:00:04.8822450, 00:00:10.5612309
2, parallel-main, Flowers,1,1000,1623525913,1,4,10,10,0, 00:00:03.8784256, 00:00:07.0545433
2, parallel-main, Platformer,1,1000,1623525913,1,4,10,10,0, 00:00:02.6814216, 00:00:06.2814478
2, parallel-propagate, Skyline,1,1000,1623525913,2,1,10,10,0, 00:00:04.8373930, 00:00:10.3191130
2, parallel-propagate, Flowers,1,1000,1623525913,2,1,10,10,0, 00:00:03.4783084, 00:00:06.1467331
2, parallel-propagate, Platformer,1,1000,1623525913,2,1,10,10,0, 00:00:02.8106462, 00:00:07.3613906
2, parallel-main, Skyline,1,1000,1623525913,1,2,10,10,0, 00:00:04.4757057, 00:00:09.5455893
2, parallel-main, Flowers,1,1000,1623525913,1,2,10,10,0, 00:00:03.5870300, 00:00:06.3727727
2, parallel-main, Platformer,1,1000,1623525913,1,2,10,10,0, 00:00:02.1925700, 00:00:05.1060748
2, parallel-propagate, Skyline,1,1000,1623525913,1,1,10,10,0, 00:00:04.7931151, 00:00:10.1267124
2, parallel-propagate, Flowers,1,1000,1623525913,1,1,10,10,0, 00:00:03.4641223, 00:00:06.1378826
2, parallel-propagate, Platformer,1,1000,1623525913,1,1,10,10,0, 00:00:02.9299049, 00:00:07.5635216
2, parallel-main, Skyline,1,1000,1623525913,1,1,10,10,0, 00:00:04.7939302, 00:00:10.1024368
2, parallel-main, Flowers,1,1000,1623525913,1,1,10,10,0, 00:00:03.4577757, 00:00:06.1315912
2, parallel-main, Platformer,1,1000,1623525913,1,1,10,10,0, 00:00:02.9412926, 00:00:07.5263752
2, sequential-main, Skyline,1,1000,1623525913,1,1,10,10,0, 00:00:04.7905497, 00:00:10.0991301
2, sequential-main, Flowers,1,1000,1623525913,1,1,10,10,0, 00:00:03.3972300, 00:00:06.0616331
2, sequential-main, Platformer,1,1000,1623525913,1,1,10,10,0, 00:00:02.9579792, 00:00:07.5543441
3, parallel-propagate, Skyline,1,1000,2344573,8,1,10,10,0, 00:00:05.4555864, 00:00:12.3984847
3, parallel-propagate, Flowers,1,1000,2344573,8,1,10,10,0, 00:00:03.7878106, 00:00:07.0963078
3, parallel-propagate, Platformer,1,1000,2344573,8,1,10,10,0, 00:00:02.6343421, 00:00:06.8553828
3, parallel-main, Skyline,1,1000,2344573,1,8,10,10,0, 00:00:07.4981747, 00:00:16.6630268
3, parallel-main, Flowers,1,1000,2344573,1,8,10,10,0, 00:00:05.7179679, 00:00:10.4566347
3, parallel-main, Platformer,1,1000,2344573,1,8,10,10,0, 00:00:02.9950615, 00:00:08.0309548
3, parallel-propagate, Skyline,1,1000,2344573,4,1,10,10,0, 00:00:07.1648610, 00:00:19.8809128
3, parallel-propagate, Flowers,1,1000,2344573,4,1,10,10,0, 00:00:03.8743107, 00:00:07.4200188
3, parallel-propagate, Platformer,1,1000,2344573,4,1,10,10,0, 00:00:02.9488908, 00:00:07.6951259
3, parallel-main, Skyline,1,1000,2344573,1,4,10,10,0, 00:00:07.4575926, 00:00:17.8895294
3, parallel-main, Flowers,1,1000,2344573,1,4,10,10,0, 00:00:04.6303268, 00:00:08.6184760
3, parallel-main, Platformer,1,1000,2344573,1,4,10,10,0, 00:00:02.9736728, 00:00:07.9004277
3, parallel-propagate, Skyline,1,1000,2344573,2,1,10,10,0, 00:00:05.7516094, 00:00:13.6636903
3, parallel-propagate, Flowers,1,1000,2344573,2,1,10,10,0, 00:00:03.9044970, 00:00:07.5514634
3, parallel-propagate, Platformer,1,1000,2344573,2,1,10,10,0, 00:00:02.7981467, 00:00:07.4405761
3, parallel-main, Skyline,1,1000,2344573,1,2,10,10,0, 00:00:06.1516349, 00:00:13.9799327
3, parallel-main, Flowers,1,1000,2344573,1,2,10,10,0, 00:00:03.6775136, 00:00:06.6705190
3, parallel-main, Platformer,1,1000,2344573,1,2,10,10,0, 00:00:02.0863590, 00:00:05.2964610
3, parallel-propagate, Skyline,1,1000,2344573,1,1,10,10,0, 00:00:05.3794380, 00:00:12.3335389
3, parallel-propagate, Flowers,1,1000,2344573,1,1,10,10,0, 00:00:03.8452185, 00:00:07.1809852
3, parallel-propagate, Platformer,1,1000,2344573,1,1,10,10,0, 00:00:02.6582868, 00:00:06.9086408
3, parallel-main, Skyline,1,1000,2344573,1,1,10,10,0, 00:00:05.4177898, 00:00:12.3466377
3, parallel-main, Flowers,1,1000,2344573,1,1,10,10,0, 00:00:03.8350342, 00:00:07.2192041
3, parallel-main, Platformer,1,1000,2344573,1,1,10,10,0, 00:00:02.6507016, 00:00:06.8758938
3, sequential-main, Skyline,1,1000,2344573,1,1,10,10,0, 00:00:05.4127483, 00:00:12.3795883
3, sequential-main, Flowers,1,1000,2344573,1,1,10,10,0, 00:00:03.8268864, 00:00:07.1608971
